id,q#,chapter,type,subject,order,q_se,q_en,ans_se,ans_en,q_alt_se,q_alt_en,ans_alt_se,ans_alt_en
1,,2,essay,REG,,Ge ett exempel för varje kategori från maskininstruktionerna ovan (The Machine’s Language)!,,"Dataöverföringsinstruktioner: op-koderna 1, 2, 3 och 4 (det räcker att ha angett en); 
aritmetiska/logiska instruktioner: op-koderna 5, 6, 7, 8, 9 och A (det räcker att ha angett en); 
styrinstruktioner: op-koderna B och C (det räcker att ha angett en). ",,,,,
2,36,12,ddwtos,CMP,,"Ordna följande komplexitetsklasser från minst komplex till mest komplex:logaritmisk,polynomiell,exponentiell,linjär,konstant.","Arrange the following complexity classes from least complex to most complex: logarithmic, polynomial, exponential, linear, constant.","konstant, logaritmisk, linjär, polynomiell, exponentiell.","constant, logarithmic, linear, polynomial, exponential.",,,,
3,,0,dq,HIS,,Vilken datalagringsteknik användes för första gången 1801 av Joseph Jacquard? ,Which data storage technology was first used in 1801 by Joseph Jacquard?,Hålkort,Punch cards,,,,
4,11,2,dq,PRC,,I vilket specialregister finns minnesadressen till nästa instruktion?,Which special purpose register contains the memory address to the next instruction?,Programräknaren,Program Counter,,,,
5,11,2,dq,INR,,I vilket specialregister finns den maskinkodsinstruktion som skall utföras?,Which special purpose register contains the next machine instruction to be executed?,Instruktionsregistret,Instruction register,,,,
6,11,2,dq,CAR,,"Vilken processorarkitektur har få, enkla och snabba maskininstruktioner?","Which processor architecture has few, simple and fast machine instructions?",RISC,RISC,,,,
7,15,3,dq,MIS,,"Det finns en särskild typ av maskininstruktion som behövs för att kunna koordinera olika processers tillgång till gemensamma resurser, vad kallas den? ","There is a special type of machine instruction that is needed to be able to coordinate different processes' access to common resources, what is it called?",Test-and-set (eller compare-and-swap) ,Test-and-set (or compare-and-swap) ,,,,
8,,3,dq,OPS,,Vad kallas den del av operativsystemet som upprätthåller en processtabell? ,What is the part of the operating system that maintains a process table called?,Scheduler,Scheduler,,,,
9,,3,dq,,,Vad kallas det när en dator utför ett antal jobb utan någon interaktion med någon användare? ,,Batch-bearbetning,Batch processing,,,,
10,15,3,dq,OPS,,Vad kallas det när en enskild användare i ett enanvändarsystem kan exekvera flera program ”samtidigt”? ,"What is it called when a single user in a single-user system can execute several programs ""simultaneously""?",Multitasking,Multitasking,,,,
11,,3,dq,OPS,,Vilket av följande alternativ är inte en del av operativsystemet?,Which of the following options is not part of the operating system?,Styrenhet,Control unit,,,"Schemaläggare (Scheduler), Minneshanterare (Memory Manager), Styrenhet (Control Unit), Dispatcher, Filhanterare (File Manager), Drivrutiner (Device Drivers)","Scheduler, Memory Manager, Control Unit, Dispatcher, File Manager, Device Drivers"
12,16,3,dq,PRO,,Vad kallas en flagga som styr åtkomsten till en kritisk region (critical region) för att garantera att inte flera processer kommer åt den kritiska regionen samtidigt (mutual exclusion)? ,What is a flag called that controls access to a critical region to ensure that several processes do not access the critical region at the same time (mutual exclusion)?,Semafor,Semaphore,,,,
